Dataset,Module,Completeness,Uniqueness,Validity,Accuracy,Timeliness,Consistency,Status,Week_format,Record_ID,Data_Vendor,Date,Time_Period,Pipeline_Success_Rate_Pct,Mean_Time_to_Fix_Failure_Hours,Mean_Time_Between_Failures_Hours,Error_Rate_Pct,Record_Completeness_Score_Pct,On_Time_Data_Delivery_Rate_Pct,Validation_Failure_Rate_Pct,Null_Value_Rate_Pct,Duplication_Rate_Pct,User_Reported_Issues,Data_Freshness,Incident_Frequency
Prescriber,Field Report,0.15,0.31,0.147,0.445,0.244,0.308,In Progress,08/11,88,IQVIA,2025-08-11,YTD,0.157,6.3,65.0,0.0054,0.0,0.0,0.0027,0.0047,0.009,4,0.0081,0.82
Rx Fact,Field Report,0.15,0.17,0.147,0.245,0.144,0.308,Achieved,04/18,91,IQVIA,2025-04-18,YTD,0.0186,2.4,68.4,0.0026,0.0,0.0,0.0019,0.007,0.0061,2,0.0054,0.33
Prescriber,Marketing Report,0.15,0.31,0.147,0.445,0.244,0.308,Achieved,10/13,94,IQVIA,2025-10-13,QTD,0.0154,6.4,98.4,0.0071,0.0,0.0078,0.0077,0.0031,0.0041,3,0.0097,0.92
Prescriber,Field Report,0.44,0.17,0.147,0.245,0.144,0.308,Achieved,11/12,97,IQVIA,2025-11-12,QTD,0.0173,8.9,72.0,0.0021,0.0,0.0188,0.0047,0.0081,0.0039,2,0.0139,0.93
Sent,Field Report,0.44,0.31,0.247,0.245,0.244,0.308,In Progress,02/09,99,SFMC,2025-02-09,QTD,0.006,6.0,58.0,0.009,0.0,0.017,0.0091,0.0072,0.0054,5,0.0086,1.01
Rx Fact,Marketing Report,0.44,0.17,0.247,0.445,0.144,0.308,In Progress,04/02,101,IQVIA,2025-04-02,QTD,0.0069,2.0,57.4,0.0081,0.0,0.0163,0.0021,0.0037,0.0042,3,0.0059,0.86
Patients,Marketing Report,0.44,0.17,0.247,0.245,0.244,0.308,Achieved,07/24,103,IQVIA,2025-07-24,YTD,0.0103,8.9,95.0,0.0087,0.0,0.0076,0.0087,0.0068,0.0073,1,0.0026,1.66
Email,Marketing Report,0.15,0.17,0.247,0.245,0.244,0.308,In Progress,03/23,106,SFMC,2025-03-23,CM,0.0098,4.6,82.1,0.0047,0.0,0.0136,0.0019,0.0094,0.0024,5,0.0074,0.25
Patients,Field Report,0.44,0.31,0.147,0.245,0.144,0.308,In Progress,08/05,108,IQVIA,2025-08-05,QTD,0.0097,2.2,79.5,0.0064,0.0,0.0098,0.0011,0.004,0.0046,3,0.0042,0.26
Prescriber,Marketing Report,0.15,0.31,0.247,0.245,0.244,0.308,Achieved,03/23,110,IQVIA,2025-03-23,CM,0.0181,2.5,57.0,0.0085,0.0,0.0092,0.0072,0.0053,0.0079,1,0.0038,0.65
Patients,Field Report,0.15,0.31,0.247,0.445,0.244,0.308,In Progress,02/24,112,IQVIA,2025-02-24,QTD,0.0151,5.9,90.5,0.0082,0.0,0.0098,0.0053,0.0022,0.0052,1,0.0081,1.63
Email,Field Report,0.15,0.31,0.247,0.445,0.144,0.308,Achieved,09/04,116,SFMC,2025-09-04,QTD,0.0126,9.9,89.3,0.0028,0.0,0.0187,0.0094,0.0089,0.0068,5,0.0014,1.08
Patients,Field Report,0.15,0.17,0.247,0.245,0.144,0.308,Achieved,09/09,118,IQVIA,2025-09-09,YTD,0.112,9.1,73.5,0.008,0.0,0.0063,0.0053,0.0072,0.0024,2,0.007,1.3
Patients,Field Report,0.15,0.17,0.247,0.245,0.244,0.308,In Progress,07/08,120,IQVIA,2025-07-08,QTD,0.0169,8.1,55.1,0.0074,0.0,0.0149,0.0097,0.0033,0.0046,5,0.0023,1.97
Email,Field Report,0.15,0.31,0.147,0.245,0.244,0.308,Achieved,01/07,121,SFMC,2025-01-07,YTD,0.0199,2.3,54.4,0.0027,0.0,0.0152,0.01,0.0062,0.0066,2,0.0088,0.99
Rx Fact,Marketing Report,0.15,0.31,0.147,0.245,0.144,0.308,In Progress,06/29,122,IQVIA,2025-06-29,QTD,0.0102,5.6,68.2,0.0098,0.0,0.0137,0.0077,0.0038,0.0061,3,0.0088,1.58
Patients,Field Report,0.44,0.31,0.247,0.245,0.244,0.308,In Progress,03/23,123,IQVIA,2025-03-23,CM,0.157,8.4,75.8,0.0036,0.0,0.0131,0.0066,0.0036,0.0086,3,0.0075,0.83
Rx Fact,Marketing Report,0.44,0.17,0.247,0.245,0.144,0.308,In Progress,03/23,124,IQVIA,2025-03-23,CM,0.0162,6.1,84.2,0.009,0.0,0.0134,0.0089,0.0082,0.0022,5,0.0046,0.25
Email,Field Report,0.44,0.17,0.147,0.445,0.144,0.308,Achieved,01/29,125,SFMC,2025-01-29,QTD,0.2158,2.1,54.9,0.0072,0.0,0.0145,0.0064,0.0037,0.0052,2,0.0036,0.93
Rx Fact,Marketing Report,0.44,0.17,0.147,0.245,0.144,0.308,In Progress,07/03,126,IQVIA,2025-07-03,QTD,0.0184,5.0,69.4,0.0013,0.0,0.0104,0.001,0.0096,0.0067,1,0.0084,1.34
Prescriber,Marketing Report,0.15,0.17,0.147,0.245,0.144,0.308,Achieved,02/26,127,IQVIA,2025-02-26,QTD,0.0085,8.3,62.9,0.0067,0.0,0.0163,0.0089,0.0097,0.0032,2,0.007,0.42
Email,Field Report,0.44,0.31,0.147,0.445,0.144,0.308,Achieved,03/23,128,SFMC,2025-03-23,CM,0.0086,6.5,74.5,0.0046,0.0,0.0182,0.002,0.0068,0.0029,0,0.0017,0.62
Email,Marketing Report,0.44,0.17,0.247,0.445,0.144,0.308,Achieved,09/02,130,SFMC,2025-09-02,QTD,0.013,8.2,53.2,0.0032,0.0,0.017,0.0057,0.0083,0.0066,1,0.0048,1.74
Prescriber,Marketing Report,0.44,0.31,0.147,0.245,0.244,0.308,In Progress,09/01,134,IQVIA,2025-09-01,QTD,0.014,9.6,56.2,0.0098,0.0,0.0061,0.0033,0.0013,0.0075,0,0.0025,0.25
Prescriber,Field Report,0.44,0.17,0.247,0.445,0.244,0.308,In Progress,03/23,139,IQVIA,2025-03-23,CM,0.0063,5.9,93.2,0.0064,0.0,0.0182,0.0063,0.0067,0.0024,5,0.0064,1.52
Prescriber,Field Report,0.44,0.31,0.247,0.245,0.244,0.308,Achieved,08/14,141,IQVIA,2025-08-14,QTD,0.0163,2.7,87.3,0.0062,0.0,0.0136,0.0041,0.0019,0.0073,0,0.0099,0.67
Patients,Field Report,0.15,0.17,0.247,0.445,0.144,0.308,Achieved,03/23,142,IQVIA,2025-03-23,CM,0.0148,4.3,94.2,0.0051,0.0,0.0058,0.0031,0.002,0.0092,1,0.0014,1.66
Prescriber,Field Report,0.44,0.31,0.147,0.245,0.244,0.308,Achieved,08/04,143,IQVIA,2025-08-04,QTD,0.0164,2.4,69.0,0.0045,0.0,0.0125,0.002,0.0026,0.0091,3,0.0097,0.67
Patients,Field Report,0.44,0.17,0.247,0.445,0.244,0.308,Achieved,01/31,144,IQVIA,2025-01-31,YTD,0.0075,3.5,62.6,0.0049,0.0,0.0,0.0071,0.0073,0.0049,3,0.0098,0.67
Email,Field Report,0.15,0.17,0.247,0.445,0.144,0.308,In Progress,10/28,145,SFMC,2025-10-28,YTD,0.2159,9.7,51.9,0.0017,0.0,0.0,0.009,0.0055,0.0016,4,0.0087,1.53
Sent,Marketing Report,0.15,0.17,0.147,0.445,0.244,0.308,In Progress,08/17,146,SFMC,2025-08-17,QTD,0.0153,2.8,82.1,0.0073,0.0,0.0169,0.0012,0.006,0.0025,1,0.0081,1.07
Rx Fact,Field Report,0.15,0.17,0.247,0.445,0.244,0.308,In Progress,03/09,150,IQVIA,2025-03-09,QTD,0.0142,7.4,74.2,0.0092,0.0,0.014,0.0084,0.002,0.0024,0,0.019,0.82
Patients,Marketing Report,0.44,0.17,0.147,0.245,0.244,0.308,Achieved,07/18,154,IQVIA,2025-07-18,QTD,0.0143,8.3,57.5,0.0092,0.0,0.0192,0.001,0.0027,0.0061,0,0.0092,1.42
Rx Fact,Field Report,0.15,0.31,0.147,0.245,0.144,0.308,Achieved,12/26,155,IQVIA,2025-12-26,QTD,0.0169,4.4,56.0,0.0049,0.0,0.0105,0.0082,0.0071,0.0049,3,0.0139,1.32
Subscriber,Marketing Report,0.15,0.31,0.247,0.445,0.144,0.308,In Progress,10/17,156,SFMC,2025-10-17,QTD,0.0199,5.8,88.9,0.0057,0.0,0.012,0.0045,0.0032,0.0084,2,0.0114,0.7
Email,Field Report,0.44,0.17,0.147,0.445,0.144,0.308,Achieved,02/13,157,SFMC,2025-02-13,QTD,0.0102,5.8,99.4,0.003,0.0,0.0106,0.0018,0.0099,0.005,4,0.0086,0.41
Email,Field Report,0.44,0.17,0.247,0.445,0.244,0.308,Achieved,09/30,158,SFMC,2025-09-30,QTD,0.157,7.1,96.8,0.0094,0.0,0.0144,0.0081,0.0044,0.0038,2,0.0053,1.87
Sent,Field Report,0.44,0.17,0.247,0.445,0.244,0.308,In Progress,03/23,162,SFMC,2025-03-23,CM,0.0143,2.7,82.2,0.0083,0.0,0.007,0.0068,0.0057,0.0074,2,0.0013,1.64
Subscriber,Field Report,0.44,0.17,0.247,0.245,0.244,0.308,In Progress,11/27,165,SFMC,2025-11-27,QTD,0.0181,8.0,95.2,0.0089,0.0,0.006,0.0075,0.0026,0.01,0,0.0087,0.55
Prescriber,Marketing Report,0.15,0.17,0.147,0.445,0.144,0.308,Achieved,11/13,167,IQVIA,2025-11-13,QTD,0.0117,8.5,71.2,0.004,0.0,0.0196,0.0085,0.0026,0.0075,5,0.0063,0.23
Rx Fact,Field Report,0.44,0.17,0.247,0.445,0.144,0.308,In Progress,12/14,168,IQVIA,2025-12-14,YTD,0.0196,8.5,88.0,0.0032,0.0,0.0072,0.0073,0.0015,0.001,0,0.0038,1.82
Email,Marketing Report,0.15,0.31,0.147,0.245,0.244,0.308,In Progress,01/09,169,SFMC,2025-01-09,YTD,0.0069,2.1,82.2,0.0066,0.0,0.0093,0.006,0.0035,0.003,2,0.0073,0.45
Rx Fact,Field Report,0.44,0.31,0.247,0.245,0.144,0.308,Achieved,03/10,170,IQVIA,2025-03-10,YTD,0.0064,8.1,57.7,0.0076,0.0,0.0163,0.002,0.0062,0.0015,0,0.0081,0.28
Email,Marketing Report,0.44,0.17,0.147,0.445,0.144,0.308,Achieved,03/23,171,SFMC,2025-03-23,CM,0.016,9.7,60.2,0.008,0.0,0.0154,0.0073,0.0065,0.0085,1,0.0074,1.0
Subscriber,Marketing Report,0.44,0.31,0.147,0.245,0.244,0.308,In Progress,03/05,172,SFMC,2025-03-05,YTD,0.0086,2.9,75.3,0.0046,0.0,0.0148,0.0027,0.0071,0.0083,1,0.0049,0.73
Patients,Field Report,0.15,0.31,0.247,0.245,0.144,0.308,In Progress,08/22,174,IQVIA,2025-08-22,QTD,0.0088,5.4,78.9,0.0037,0.0,0.0052,0.0074,0.0071,0.0039,1,0.0014,1.58
Rx Fact,Field Report,0.44,0.17,0.147,0.445,0.144,0.308,In Progress,09/14,178,IQVIA,2025-09-14,YTD,0.0074,8.8,72.9,0.0019,0.0,0.0164,0.0011,0.0086,0.0067,1,0.0023,1.69
Subscriber,Field Report,0.44,0.31,0.147,0.245,0.144,0.308,Achieved,03/23,182,SFMC,2025-03-23,CM,0.0178,2.3,78.6,0.0031,0.0,0.0,0.0077,0.0061,0.0038,3,0.0046,1.46
Rx Fact,Marketing Report,0.15,0.31,0.247,0.445,0.144,0.308,Achieved,10/31,185,IQVIA,2025-10-31,YTD,0.2169,7.2,89.6,0.0089,0.0,0.0103,0.0065,0.0037,0.006,5,0.007,1.75
Patients,Marketing Report,0.44,0.17,0.247,0.245,0.244,0.308,Achieved,07/07,186,IQVIA,2025-07-07,YTD,0.0199,9.2,92.0,0.0042,0.0,0.0187,0.0043,0.0042,0.0063,2,0.0017,0.32
Sent,Marketing Report,0.15,0.17,0.147,0.445,0.244,0.308,In Progress,03/23,187,SFMC,2025-03-23,CM,0.0102,10.0,99.8,0.0043,0.0,0.0,0.0013,0.0072,0.0071,5,0.0013,0.96
Rx Fact,Field Report,0.44,0.31,0.247,0.445,0.244,0.308,Achieved,06/18,188,IQVIA,2025-06-18,QTD,0.157,2.1,62.6,0.0083,0.0,0.0114,0.0082,0.0053,0.0043,1,0.0048,0.88
Prescriber,Field Report,0.15,0.31,0.147,0.245,0.144,0.308,Achieved,03/20,190,IQVIA,2025-03-20,QTD,0.2158,2.5,65.6,0.0042,0.0,0.0148,0.0031,0.0018,0.0091,4,0.0061,0.74
Patients,Marketing Report,0.44,0.17,0.147,0.445,0.144,0.308,Achieved,07/30,194,IQVIA,2025-07-30,QTD,0.0173,5.2,91.4,0.0053,0.0,0.0173,0.008,0.0015,0.0095,4,0.0042,0.45
Rx Fact,Marketing Report,0.44,0.17,0.247,0.445,0.244,0.308,In Progress,09/17,197,IQVIA,2025-09-17,YTD,0.0169,2.5,88.3,0.0025,0.0,0.0128,0.0072,0.0026,0.0029,1,0.0064,1.84
Sent,Marketing Report,0.15,0.31,0.147,0.445,0.144,0.308,In Progress,07/02,201,SFMC,2025-07-02,QTD,0.0169,6.8,77.4,0.0093,0.0,0.0164,0.0082,0.0038,0.0095,5,0.0097,0.16
Patients,Marketing Report,0.44,0.31,0.147,0.245,0.244,0.308,In Progress,01/19,206,IQVIA,2025-01-19,QTD,0.2158,4.6,76.5,0.0045,0.0,0.0148,0.0013,0.003,0.0047,3,0.0068,1.69
Sent,Field Report,0.15,0.31,0.147,0.245,0.144,0.308,In Progress,03/23,210,SFMC,2025-03-23,CM,0.0066,7.8,78.2,0.0033,0.0,0.0,0.0082,0.0067,0.0096,3,0.0097,0.42
Rx Fact,Marketing Report,0.44,0.17,0.147,0.245,0.144,0.308,Achieved,09/29,215,IQVIA,2025-09-29,QTD,0.0171,2.9,83.1,0.0091,0.0,0.0106,0.0024,0.0079,0.0022,0,0.0086,0.75
Sent,Field Report,0.44,0.31,0.147,0.445,0.144,0.308,Achieved,10/13,220,SFMC,2025-10-13,YTD,0.0147,5.8,53.8,0.0053,0.0,0.0,0.0065,0.0033,0.0038,3,0.0013,1.43
Rx Fact,Field Report,0.44,0.31,0.147,0.445,0.244,0.308,In Progress,11/13,223,IQVIA,2025-11-13,YTD,0.0154,4.7,73.9,0.0028,0.0,0.0,0.0066,0.0038,0.0049,5,0.0087,1.09
Patients,Field Report,0.15,0.31,0.147,0.445,0.244,0.308,Achieved,09/29,227,IQVIA,2025-09-29,QTD,0.0072,6.4,54.2,0.0066,0.0,0.0184,0.0093,0.0078,0.0014,1,0.0073,1.02
Rx Fact,Marketing Report,0.15,0.17,0.247,0.245,0.244,0.308,In Progress,03/23,231,IQVIA,2025-03-23,CM,0.0189,6.5,88.9,0.0022,0.0,0.0182,0.0066,0.0054,0.0017,1,0.0032,1.73
Sent,Field Report,0.44,0.17,0.247,0.445,0.144,0.308,Achieved,06/07,238,SFMC,2025-06-07,YTD,0.0147,3.8,96.4,0.0039,0.0,0.0,0.0021,0.0023,0.0095,0,0.0088,1.12
Prescriber,Field Report,0.44,0.17,0.147,0.445,0.144,0.308,In Progress,03/15,242,IQVIA,2025-03-15,YTD,0.0169,3.9,57.2,0.0031,0.0,0.0155,0.0079,0.0053,0.0024,2,0.0084,0.38
Email,Marketing Report,0.44,0.31,0.247,0.245,0.144,0.308,In Progress,04/24,244,SFMC,2025-04-24,QTD,0.0102,9.8,61.5,0.0055,0.0,0.0072,0.0053,0.0058,0.0024,5,0.0017,0.42
Prescriber,Marketing Report,0.15,0.17,0.147,0.445,0.244,0.308,Achieved,06/24,247,IQVIA,2025-06-24,YTD,0.2158,9.4,81.4,0.0071,0.0,0.0129,0.0082,0.0039,0.0064,2,0.0089,1.73
Email,Marketing Report,0.44,0.31,0.147,0.245,0.244,0.308,Achieved,03/23,248,SFMC,2025-03-23,CM,0.0119,5.9,96.6,0.0023,0.0,0.0064,0.0042,0.0093,0.008,3,0.0061,0.6
Sent,Marketing Report,0.44,0.31,0.147,0.445,0.244,0.308,In Progress,06/27,249,SFMC,2025-06-27,QTD,0.0173,5.1,95.9,0.0044,0.0,0.0174,0.0047,0.0062,0.007,4,0.005,1.92
Patients,Marketing Report,0.44,0.17,0.247,0.445,0.144,0.308,Achieved,03/23,250,IQVIA,2025-03-23,CM,0.0117,2.4,63.4,0.0057,0.0,0.0122,0.0076,0.0049,0.0012,2,0.0025,1.03
Subscriber,Field Report,0.44,0.31,0.147,0.245,0.144,0.308,In Progress,04/10,251,SFMC,2025-04-10,YTD,0.0188,5.4,56.2,0.0049,0.0,0.0069,0.0019,0.0029,0.0012,0,0.0072,1.46
Sent,Field Report,0.44,0.17,0.247,0.445,0.144,0.308,In Progress,09/28,252,SFMC,2025-09-28,QTD,0.0056,7.8,50.1,0.0095,0.0,0.0116,0.0066,0.002,0.0056,1,0.0042,1.53
Rx Fact,Field Report,0.44,0.31,0.147,0.245,0.244,0.308,In Progress,03/23,253,IQVIA,2025-03-23,CM,0.0064,6.7,84.5,0.0099,0.0,0.0136,0.0087,0.008,0.0023,0,0.0045,0.13
Email,Field Report,0.44,0.31,0.247,0.245,0.144,0.308,In Progress,11/11,260,SFMC,2025-11-11,QTD,0.0071,5.0,60.0,0.0041,0.0,0.0134,0.0086,0.005,0.0091,2,0.0098,1.23
Patients,Field Report,0.15,0.31,0.147,0.445,0.144,0.308,Achieved,05/08,265,IQVIA,2025-05-08,QTD,0.0186,3.4,91.6,0.0019,0.0,0.0099,0.0059,0.0071,0.0074,2,0.0054,0.97
Email,Field Report,0.44,0.17,0.147,0.245,0.144,0.308,Achieved,03/23,268,SFMC,2025-03-23,CM,0.0108,3.1,73.3,0.0096,0.0,0.0115,0.0068,0.0037,0.0088,4,0.0097,1.02
Email,Marketing Report,0.15,0.31,0.247,0.445,0.144,0.308,In Progress,08/17,274,SFMC,2025-08-17,YTD,0.0187,9.8,89.4,0.0061,0.0,0.0,0.0057,0.006,0.0066,4,0.0053,0.47
Patients,Marketing Report,0.44,0.31,0.247,0.245,0.244,0.308,Achieved,03/23,278,IQVIA,2025-03-23,CM,0.0166,6.5,88.0,0.0088,0.0,0.0,0.0036,0.0049,0.0026,2,0.0013,0.32
Rx Fact,Marketing Report,0.44,0.17,0.147,0.245,0.244,0.308,Achieved,09/25,283,IQVIA,2025-09-25,YTD,0.0108,5.2,99.8,0.0082,0.0,0.0,0.0059,0.0096,0.0045,3,0.0063,0.89
Subscriber,Field Report,0.15,0.17,0.247,0.245,0.244,0.308,In Progress,03/23,288,SFMC,2025-03-23,CM,0.0173,4.8,51.2,0.0021,0.0,0.0085,0.0088,0.0092,0.0029,0,0.0049,1.6
Subscriber,Marketing Report,0.15,0.31,0.147,0.245,0.244,0.308,In Progress,02/16,2,SFMC,2025-02-16,QTD,0.0083,9.8,56.9,0.0025,0.0065,0.0086,0.0011,0.007,0.0061,3,0.007,1.12
Subscriber,Field Report,0.44,0.31,0.147,0.445,0.144,0.308,Achieved,02/18,3,SFMC,2025-02-18,YTD,0.112,4.3,97.4,0.0074,0.0162,0.0,0.0039,0.0059,0.005,1,0.0059,0.55
Prescriber,Marketing Report,0.44,0.17,0.147,0.445,0.144,0.308,In Progress,03/23,6,IQVIA,2025-03-23,CM,0.0199,5.9,61.1,0.0087,0.0059,0.0064,0.004,0.0088,0.0042,2,0.0088,1.05
Patients,Field Report,0.15,0.17,0.147,0.245,0.144,0.308,In Progress,05/15,8,IQVIA,2025-05-15,YTD,0.157,2.7,96.3,0.0013,0.0175,0.0133,0.0081,0.0046,0.0071,1,0.0046,0.2
