Module,DataVendor,TimePeriod,Date,Dimension,Value,Status,Total Rows,Failed Rows,Unused Tables,KPI/Chart,Attribute-KPI?Chart,Value-KPI/Chart,Data Quality Dimension,Attribute-DQ,Value-DQ,Data Load Status,Attribute-DL,Value-DL,Week_format,Dataset
Field Report,IQVIA,CM,2025-05-27,Accuracy,0.36,In Progress,209,5,1,Reported Issue,Closed,3,Completeness,Claim_Type,0.45,Fatal Errors,Patient Commercial,3,05/27,Prescriber
Field Report,IQVIA,QTD,2025-05-09,Completeness,0.42,Achieved,240,5,0,Recurring Issue,Incorrect Date Format,3,Completeness,Refill_Code,0.45,Data Load Status,Rx Fact,Y,05/09,Patients
Field Report,IQVIA,QTD,2025-04-16,Uniqueness,0.66,In Progress,223,7,1,Recurring Issue,Null Values,4,Completeness,Payer_Plan_ID,0.62,Data Load Status,Product,Y,04/16,Patients
Field Report,IQVIA,QTD,2025-05-27,Validity,0.4,Achieved,234,7,0,Recurring Issue,Data Type,5,Completeness,OPC_Ask,0.45,Data Load Status,Plan,Y,05/27,Patients
Field Report,IQVIA,QTD,2025-04-23,Consistency,0.23,In Progress,211,7,0,Recurring Issue,Incorrect Data,3,Completeness,OPC_Paid,0.62,Data Load Status,Reject,Y,04/23,Patients
Field Report,IQVIA,QTD,2025-04-02,Timeliness,0.99,In Progress,247,7,0,KPI,Total Row Processed,752000,Completeness,Provider_ID,0.45,Data Load Status,Geography,N,04/02,Patients
Field Report,IQVIA,QTD,2025-04-17,Accuracy,0.79,In Progress,208,6,0,KPI,Failed Rows,17890,Completeness,SoB,0.45,Data Load Status,Patient Demographics,N,04/17,Patients
Field Report,IQVIA,YTD,2025-01-21,Completeness,0.94,Achieved,200,5,0,KPI,Unused Tables,12,Completeness,Claim_Status,0.45,Data Load Status,Patient Activity,Y,01/21,Rx Fact
Field Report,IQVIA,YTD,2025-04-03,Uniqueness,0.7,Achieved,238,7,0,Reported Issue,Open(Verify Failed),2,Uniqueness,Claim_ID,0.12,Data Load Status,Patient MPD,Y,04/03,Rx Fact
Field Report,IQVIA,YTD,2025-02-20,Validity,0.92,Achieved,221,7,0,Reported Issue,Fixed,3,Uniqueness,Patient_ID,0.37,Data Load Status,Provider,N,02/20,Rx Fact
Field Report,IQVIA,YTD,2025-04-10,Consistency,0.49,In Progress,209,7,1,Recurring Issue,Data Type,4,Uniqueness,Claim_Type,0.32,Data Load Status,Patient Commercial,N,04/10,Rx Fact
Field Report,IQVIA,YTD,2025-01-02,Timeliness,0.18,Achieved,227,6,1,KPI,Total Row Processed,895623,Validity,Patient_ID,0.98,Error Warnings,Rx Fact,3,01/02,Rx Fact
Field Report,IQVIA,YTD,2025-05-01,Accuracy,0.67,In Progress,227,7,0,KPI,Failed Rows,26314,Validity,Claim_Type,0.07,Error Warnings,Product,1,05/01,Rx Fact
Marketing Report,SFMC,CM,2025-05-27,Completeness,0.68,In Progress,227,6,0,KPI,Unused Tables,38,Consistency,Claim_ID,0.74,Error Warnings,Plan,2,05/27,Subscriber
Marketing Report,SFMC,CM,2025-05-27,Uniqueness,0.94,In Progress,246,7,1,Reported Issue,Open(Verify Failed),3,Consistency,Patient_ID,0.86,Error Warnings,Reject,3,05/27,Subscriber
Marketing Report,SFMC,CM,2025-05-27,Validity,0.43,Achieved,209,5,0,Reported Issue,Open,4,Timeliness,Claim_ID,0.39,Error Warnings,Geography,2,05/27,Subscriber
Marketing Report,SFMC,CM,2025-05-27,Consistency,0.45,In Progress,210,7,0,Reported Issue,Fixed,5,Timeliness,Patient_ID,0.13,Error Warnings,Patient Demographics,3,05/27,Subscriber
Marketing Report,SFMC,CM,2025-05-27,Timeliness,0.73,In Progress,241,7,0,Reported Issue,Closed,3,Accuracy,Claim_ID,0.43,Error Warnings,Patient Activity,1,05/27,Subscriber
Marketing Report,SFMC,CM,2025-05-27,Accuracy,0.78,Achieved,229,6,1,Recurring Issue,Incorrect Date Format,3,Accuracy,Patient_ID,0.04,Error Warnings,Patient MPD,3,05/27,Subscriber
Marketing Report,SFMC,QTD,2025-05-27,Completeness,0.97,In Progress,247,5,1,Recurring Issue,Null Values,4,Completeness,Claim_ID,0.45,Error Warnings,Provider,2,05/27,Email
Marketing Report,SFMC,QTD,2025-04-13,Uniqueness,0.14,In Progress,205,6,1,Recurring Issue,Data Type,5,Completeness,Patient_ID,0.62,Error Warnings,Patient Commercial,3,04/13,Email
Marketing Report,SFMC,QTD,2025-04-10,Validity,0.86,Achieved,216,5,1,Recurring Issue,Incorrect Data,3,Completeness,Claim_Type,0.45,Fatal Errors,Plan,2,04/10,Email
Marketing Report,SFMC,QTD,2025-05-22,Consistency,0.66,In Progress,204,6,0,KPI,Total Row Processed,752000,Completeness,Refill_Code,0.45,Fatal Errors,Reject,3,05/22,Email
Marketing Report,SFMC,QTD,2025-05-20,Timeliness,0.13,In Progress,207,7,0,KPI,Failed Rows,17890,Completeness,Payer_Plan_ID,0.62,Fatal Errors,Provider,2,05/20,Email
Marketing Report,SFMC,QTD,2025-05-18,Accuracy,0.93,In Progress,250,7,0,KPI,Unused Tables,12,Completeness,OPC_Ask,0.45,Fatal Errors,Patient Commercial,3,05/18,Email
Marketing Report,SFMC,YTD,2025-02-01,Completeness,0.49,In Progress,205,5,0,Reported Issue,Open(Verify Failed),2,Completeness,OPC_Paid,0.62,Data Load Status,Rx Fact,Y,02/01,Open
Marketing Report,SFMC,YTD,2025-03-04,Uniqueness,0.72,Achieved,217,6,1,Reported Issue,Fixed,3,Completeness,Provider_ID,0.45,Data Load Status,Product,Y,03/04,Open
Marketing Report,SFMC,YTD,2025-03-04,Validity,0.11,Achieved,243,6,0,Recurring Issue,Data Type,4,Completeness,SoB,0.45,Data Load Status,Plan,Y,03/04,Open
Marketing Report,SFMC,YTD,2025-02-26,Consistency,0.63,Achieved,242,6,0,KPI,Total Row Processed,895623,Completeness,Claim_Status,0.45,Data Load Status,Reject,Y,02/26,Open
Marketing Report,SFMC,YTD,2025-02-17,Timeliness,0.69,In Progress,212,5,0,KPI,Failed Rows,26314,Uniqueness,Claim_ID,0.12,Data Load Status,Geography,N,02/17,Open
Marketing Report,SFMC,YTD,2025-03-04,Accuracy,0.65,Achieved,212,7,0,KPI,Unused Tables,38,Uniqueness,Patient_ID,0.37,Data Load Status,Patient Demographics,N,03/04,Open
Marketing Report,SFMC,CM,2025-05-27,Completeness,0.83,Achieved,217,5,0,Reported Issue,Open(Verify Failed),3,Uniqueness,Claim_Type,0.32,Data Load Status,Patient Activity,Y,05/27,Subscriber
Marketing Report,SFMC,CM,2025-05-27,Uniqueness,0.58,In Progress,250,7,1,Reported Issue,Open,4,Validity,Patient_ID,0.98,Data Load Status,Patient MPD,Y,05/27,Subscriber
Marketing Report,SFMC,CM,2025-05-27,Validity,0.54,Achieved,216,5,1,Reported Issue,Fixed,5,Validity,Claim_Type,0.07,Data Load Status,Provider,N,05/27,Subscriber
Marketing Report,SFMC,CM,2025-05-27,Consistency,0.98,Achieved,208,5,0,Reported Issue,Closed,3,Consistency,Claim_ID,0.74,Data Load Status,Patient Commercial,N,05/27,Subscriber
Marketing Report,SFMC,CM,2025-05-27,Timeliness,0.46,Achieved,208,6,1,Recurring Issue,Incorrect Date Format,3,Consistency,Patient_ID,0.86,Error Warnings,Rx Fact,3,05/27,Subscriber
Marketing Report,SFMC,CM,2025-05-27,Accuracy,0.75,Achieved,223,6,1,Recurring Issue,Null Values,4,Timeliness,Claim_ID,0.39,Error Warnings,Product,1,05/27,Subscriber
Marketing Report,SFMC,QTD,2025-04-04,Completeness,0.89,In Progress,205,5,1,Recurring Issue,Data Type,5,Timeliness,Patient_ID,0.13,Error Warnings,Plan,2,04/04,Email
Marketing Report,SFMC,QTD,2025-05-27,Uniqueness,0.89,In Progress,216,6,0,Recurring Issue,Incorrect Data,3,Accuracy,Claim_ID,0.43,Error Warnings,Reject,3,05/27,Email
Marketing Report,SFMC,QTD,2025-04-19,Validity,0.47,In Progress,227,5,0,KPI,Total Row Processed,752000,Accuracy,Patient_ID,0.04,Error Warnings,Geography,2,04/19,Email
Marketing Report,SFMC,QTD,2025-04-16,Consistency,0.84,Achieved,246,5,1,KPI,Failed Rows,17890,Completeness,Claim_ID,0.45,Error Warnings,Patient Demographics,3,04/16,Email
Marketing Report,SFMC,QTD,2025-04-11,Timeliness,0.73,In Progress,223,5,1,KPI,Unused Tables,12,Completeness,Patient_ID,0.62,Error Warnings,Patient Activity,1,04/11,Email
Marketing Report,SFMC,QTD,2025-05-09,Accuracy,0.46,In Progress,245,6,1,Reported Issue,Open(Verify Failed),2,Completeness,Claim_Type,0.45,Error Warnings,Patient MPD,3,05/09,Email
Marketing Report,SFMC,YTD,2025-04-01,Completeness,0.65,Achieved,244,6,0,Reported Issue,Fixed,3,Completeness,Refill_Code,0.45,Error Warnings,Provider,2,04/01,Open
Marketing Report,SFMC,YTD,2025-03-27,Uniqueness,0.62,In Progress,203,5,0,Recurring Issue,Data Type,4,Completeness,Payer_Plan_ID,0.62,Error Warnings,Patient Commercial,3,03/27,Open
Marketing Report,SFMC,YTD,2025-03-23,Validity,0.38,Achieved,234,7,1,KPI,Total Row Processed,895623,Completeness,OPC_Ask,0.45,Fatal Errors,Plan,2,03/23,Open
Marketing Report,SFMC,YTD,2025-01-10,Consistency,0.98,In Progress,200,7,0,KPI,Failed Rows,26314,Completeness,OPC_Paid,0.62,Fatal Errors,Reject,3,01/10,Open
Marketing Report,SFMC,YTD,2025-01-09,Timeliness,0.9,In Progress,235,5,1,KPI,Unused Tables,38,Completeness,Provider_ID,0.45,Fatal Errors,Provider,2,01/09,Open
Marketing Report,SFMC,YTD,2025-04-10,Accuracy,0.51,Achieved,242,5,1,Reported Issue,Open(Verify Failed),3,Completeness,SoB,0.45,Fatal Errors,Patient Commercial,3,04/10,Open
Field Report,IQVIA,YTD,2025-04-01,Completeness,0.92,In Progress,245,7,1,KPI,Total Row Processed,895623,Completeness,Claim_ID,0.45,Data Load Status,Rx Fact,Y,04/01,Rx Fact
Field Report,IQVIA,YTD,2025-03-27,Uniqueness,0.19,Achieved,228,5,1,KPI,Failed Rows,26314,Completeness,Patient_ID,0.62,Data Load Status,Product,Y,03/27,Rx Fact
Field Report,IQVIA,YTD,2025-03-23,Validity,0.22,In Progress,246,6,0,KPI,Unused Tables,38,Completeness,Claim_Type,0.45,Data Load Status,Plan,Y,03/23,Rx Fact
Field Report,IQVIA,YTD,2025-01-10,Consistency,0.73,Achieved,245,6,1,Reported Issue,Open(Verify Failed),3,Completeness,Refill_Code,0.45,Data Load Status,Reject,Y,01/10,Rx Fact
Field Report,IQVIA,YTD,2025-01-09,Timeliness,0.51,Achieved,250,6,0,Reported Issue,Open,4,Completeness,Payer_Plan_ID,0.62,Data Load Status,Geography,N,01/09,Rx Fact
Field Report,IQVIA,YTD,2025-04-10,Accuracy,0.75,In Progress,231,6,0,Reported Issue,Fixed,5,Completeness,OPC_Ask,0.45,Data Load Status,Patient Demographics,N,04/10,Rx Fact
Field Report,IQVIA,YTD,2025-04-01,Completeness,0.24,In Progress,243,7,1,Reported Issue,Closed,3,Completeness,OPC_Paid,0.62,Data Load Status,Patient Activity,Y,04/01,Prescriber
Field Report,IQVIA,YTD,2025-03-27,Uniqueness,0.65,In Progress,220,7,0,Recurring Issue,Incorrect Date Format,3,Completeness,Provider_ID,0.45,Data Load Status,Patient MPD,Y,03/27,Prescriber
Field Report,IQVIA,YTD,2025-03-23,Validity,0.69,In Progress,232,6,0,Recurring Issue,Null Values,4,Completeness,SoB,0.45,Data Load Status,Provider,N,03/23,Prescriber
Field Report,IQVIA,YTD,2025-01-10,Consistency,0.63,Achieved,247,6,0,Recurring Issue,Data Type,5,Completeness,Claim_Status,0.45,Data Load Status,Patient Commercial,N,01/10,Prescriber
Field Report,IQVIA,YTD,2025-01-09,Timeliness,0.41,In Progress,243,7,1,Recurring Issue,Incorrect Data,3,Uniqueness,Claim_ID,0.12,Error Warnings,Rx Fact,3,01/09,Prescriber
Field Report,IQVIA,YTD,2025-04-10,Accuracy,0.57,Achieved,201,7,1,KPI,Total Row Processed,752000,Uniqueness,Patient_ID,0.37,Error Warnings,Product,1,04/10,Prescriber
Field Report,IQVIA,YTD,2025-04-01,Completeness,0.49,In Progress,214,7,0,KPI,Failed Rows,17890,Uniqueness,Claim_Type,0.32,Error Warnings,Plan,2,04/01,Patients
Field Report,IQVIA,YTD,2025-03-27,Uniqueness,0.7,Achieved,211,6,0,KPI,Unused Tables,12,Validity,Patient_ID,0.98,Error Warnings,Reject,3,03/27,Patients
Field Report,IQVIA,YTD,2025-03-23,Validity,0.8,In Progress,201,7,0,Reported Issue,Open(Verify Failed),2,Validity,Claim_Type,0.07,Error Warnings,Geography,2,03/23,Patients
Field Report,IQVIA,YTD,2025-01-10,Consistency,0.15,In Progress,215,6,1,Reported Issue,Fixed,3,Consistency,Claim_ID,0.74,Error Warnings,Patient Demographics,3,01/10,Patients
Field Report,IQVIA,YTD,2025-01-09,Timeliness,0.42,In Progress,211,5,0,Recurring Issue,Data Type,4,Consistency,Patient_ID,0.86,Error Warnings,Patient Activity,1,01/09,Patients
Field Report,IQVIA,YTD,2025-04-10,Accuracy,0.5,Achieved,244,5,1,KPI,Total Row Processed,895623,Timeliness,Claim_ID,0.39,Error Warnings,Patient MPD,3,04/10,Patients
Field Report,IQVIA,YTD,2025-04-01,Completeness,0.94,In Progress,244,5,0,KPI,Failed Rows,26314,Timeliness,Patient_ID,0.13,Error Warnings,Provider,2,04/01,Prescriber
Field Report,IQVIA,YTD,2025-03-27,Uniqueness,0.77,In Progress,222,5,0,KPI,Unused Tables,38,Accuracy,Claim_ID,0.43,Error Warnings,Patient Commercial,3,03/27,Prescriber
Field Report,IQVIA,YTD,2025-03-23,Validity,0.67,In Progress,244,6,1,Reported Issue,Open(Verify Failed),3,Accuracy,Patient_ID,0.04,Fatal Errors,Plan,2,03/23,Prescriber
Field Report,IQVIA,YTD,2025-01-10,Consistency,0.69,In Progress,200,6,0,Reported Issue,Open,4,Completeness,Claim_ID,0.45,Fatal Errors,Reject,3,01/10,Prescriber
Field Report,IQVIA,YTD,2025-01-09,Timeliness,0.51,Achieved,206,6,0,Reported Issue,Fixed,5,Completeness,Patient_ID,0.62,Fatal Errors,Provider,2,01/09,Prescriber
Field Report,IQVIA,YTD,2025-04-10,Accuracy,0.36,In Progress,216,5,0,Reported Issue,Closed,3,Completeness,Claim_Type,0.45,Fatal Errors,Patient Commercial,3,04/10,Prescriber
Field Report,IQVIA,YTD,2025-04-01,Completeness,0.42,Achieved,231,7,1,Recurring Issue,Incorrect Date Format,3,Completeness,Refill_Code,0.45,Data Load Status,Rx Fact,Y,04/01,Patients
Field Report,IQVIA,YTD,2025-03-27,Uniqueness,0.66,In Progress,245,5,1,Recurring Issue,Null Values,4,Completeness,Payer_Plan_ID,0.62,Data Load Status,Product,Y,03/27,Patients
Field Report,IQVIA,YTD,2025-03-23,Validity,0.4,Achieved,208,6,1,Recurring Issue,Data Type,5,Completeness,OPC_Ask,0.45,Data Load Status,Plan,Y,03/23,Patients
Field Report,IQVIA,YTD,2025-01-10,Consistency,0.23,In Progress,246,5,0,Recurring Issue,Incorrect Data,3,Completeness,OPC_Paid,0.62,Data Load Status,Reject,Y,01/10,Patients
Field Report,IQVIA,YTD,2025-01-09,Timeliness,0.99,In Progress,249,5,0,KPI,Total Row Processed,752000,Completeness,Provider_ID,0.45,Data Load Status,Geography,N,01/09,Patients
Field Report,IQVIA,YTD,2025-04-10,Accuracy,0.79,In Progress,210,7,0,KPI,Failed Rows,17890,Completeness,SoB,0.45,Data Load Status,Patient Demographics,N,04/10,Patients
Field Report,IQVIA,YTD,2025-04-01,Completeness,0.94,Achieved,208,5,1,KPI,Unused Tables,12,Completeness,Claim_Status,0.45,Data Load Status,Patient Activity,Y,04/01,Rx Fact
Field Report,IQVIA,YTD,2025-03-27,Uniqueness,0.7,Achieved,216,7,1,Reported Issue,Open(Verify Failed),2,Uniqueness,Claim_ID,0.12,Data Load Status,Patient MPD,Y,03/27,Rx Fact
Field Report,IQVIA,YTD,2025-03-23,Validity,0.92,Achieved,250,5,1,Reported Issue,Fixed,3,Uniqueness,Patient_ID,0.37,Data Load Status,Provider,N,03/23,Rx Fact
Field Report,IQVIA,YTD,2025-01-10,Consistency,0.49,In Progress,216,5,1,Recurring Issue,Data Type,4,Uniqueness,Claim_Type,0.32,Data Load Status,Patient Commercial,N,01/10,Rx Fact
Field Report,IQVIA,YTD,2025-01-09,Timeliness,0.18,Achieved,214,5,0,KPI,Total Row Processed,895623,Validity,Patient_ID,0.98,Error Warnings,Rx Fact,3,01/09,Rx Fact
Field Report,IQVIA,YTD,2025-04-10,Accuracy,0.67,In Progress,245,6,1,KPI,Failed Rows,26314,Validity,Claim_Type,0.07,Error Warnings,Product,1,04/10,Rx Fact
Marketing Report,SFMC,YTD,2025-04-01,Completeness,0.68,In Progress,221,7,0,KPI,Unused Tables,38,Consistency,Claim_ID,0.74,Error Warnings,Plan,2,04/01,Subscriber
Marketing Report,SFMC,YTD,2025-03-27,Uniqueness,0.94,In Progress,205,7,0,Reported Issue,Open(Verify Failed),3,Consistency,Patient_ID,0.86,Error Warnings,Reject,3,03/27,Subscriber
Marketing Report,SFMC,YTD,2025-03-23,Validity,0.43,Achieved,226,6,0,Reported Issue,Open,4,Timeliness,Claim_ID,0.39,Error Warnings,Geography,2,03/23,Subscriber
Marketing Report,SFMC,YTD,2025-01-10,Consistency,0.45,In Progress,235,5,0,Reported Issue,Fixed,5,Timeliness,Patient_ID,0.13,Error Warnings,Patient Demographics,3,01/10,Subscriber
Marketing Report,SFMC,YTD,2025-01-09,Timeliness,0.73,In Progress,223,7,0,Reported Issue,Closed,3,Accuracy,Claim_ID,0.43,Error Warnings,Patient Activity,1,01/09,Subscriber
Marketing Report,SFMC,YTD,2025-04-10,Accuracy,0.78,Achieved,237,5,1,Recurring Issue,Incorrect Date Format,3,Accuracy,Patient_ID,0.04,Error Warnings,Patient MPD,3,04/10,Subscriber
Marketing Report,SFMC,YTD,2025-04-01,Completeness,0.97,In Progress,213,6,1,Recurring Issue,Null Values,4,Completeness,Claim_ID,0.45,Error Warnings,Provider,2,04/01,Email
Marketing Report,SFMC,YTD,2025-03-27,Uniqueness,0.14,In Progress,245,7,1,Recurring Issue,Data Type,5,Completeness,Patient_ID,0.62,Error Warnings,Patient Commercial,3,03/27,Email
Marketing Report,SFMC,YTD,2025-03-23,Validity,0.86,Achieved,204,6,0,Recurring Issue,Incorrect Data,3,Completeness,Claim_Type,0.45,Fatal Errors,Plan,2,03/23,Email
Marketing Report,SFMC,YTD,2025-01-10,Consistency,0.66,In Progress,215,6,1,KPI,Total Row Processed,752000,Completeness,Refill_Code,0.45,Fatal Errors,Reject,3,01/10,Email
Marketing Report,SFMC,YTD,2025-01-09,Timeliness,0.13,In Progress,211,7,0,KPI,Failed Rows,17890,Completeness,Payer_Plan_ID,0.62,Fatal Errors,Provider,2,01/09,Email
Marketing Report,SFMC,YTD,2025-04-10,Accuracy,0.93,In Progress,208,6,0,KPI,Unused Tables,12,Completeness,OPC_Ask,0.45,Fatal Errors,Patient Commercial,3,04/10,Email
Marketing Report,SFMC,YTD,2025-04-01,Completeness,0.49,In Progress,222,7,1,Reported Issue,Open(Verify Failed),2,Completeness,OPC_Paid,0.62,Data Load Status,Rx Fact,Y,04/01,Open
Marketing Report,SFMC,YTD,2025-03-27,Uniqueness,0.72,Achieved,205,6,1,Reported Issue,Fixed,3,Completeness,Provider_ID,0.45,Data Load Status,Product,Y,03/27,Open
Marketing Report,SFMC,YTD,2025-03-23,Validity,0.11,Achieved,248,6,1,Recurring Issue,Data Type,4,Completeness,SoB,0.45,Data Load Status,Plan,Y,03/23,Open
Marketing Report,SFMC,YTD,2025-01-10,Consistency,0.63,Achieved,228,6,0,KPI,Total Row Processed,895623,Completeness,Claim_Status,0.45,Data Load Status,Reject,Y,01/10,Open
Marketing Report,SFMC,YTD,2025-01-09,Timeliness,0.69,In Progress,221,7,1,KPI,Failed Rows,26314,Uniqueness,Claim_ID,0.12,Data Load Status,Geography,N,01/09,Open
Marketing Report,SFMC,YTD,2025-04-10,Accuracy,0.65,Achieved,220,6,0,KPI,Unused Tables,38,Uniqueness,Patient_ID,0.37,Data Load Status,Patient Demographics,N,04/10,Open
Marketing Report,SFMC,YTD,2025-04-01,Completeness,0.83,Achieved,217,7,1,Reported Issue,Open(Verify Failed),3,Uniqueness,Claim_Type,0.32,Data Load Status,Patient Activity,Y,04/01,Subscriber
Marketing Report,SFMC,YTD,2025-03-27,Uniqueness,0.58,In Progress,215,5,0,Reported Issue,Open,4,Validity,Patient_ID,0.98,Data Load Status,Patient MPD,Y,03/27,Subscriber
Marketing Report,SFMC,YTD,2025-03-23,Validity,0.54,Achieved,210,5,0,Reported Issue,Fixed,5,Validity,Claim_Type,0.07,Data Load Status,Provider,N,03/23,Subscriber
Marketing Report,SFMC,YTD,2025-01-10,Consistency,0.98,Achieved,231,6,0,Reported Issue,Closed,3,Consistency,Claim_ID,0.74,Data Load Status,Patient Commercial,N,01/10,Subscriber
Marketing Report,SFMC,YTD,2025-01-09,Timeliness,0.46,Achieved,210,7,1,Recurring Issue,Incorrect Date Format,3,Consistency,Patient_ID,0.86,Error Warnings,Rx Fact,3,01/09,Subscriber
Marketing Report,SFMC,YTD,2025-04-10,Accuracy,0.75,Achieved,241,7,0,Recurring Issue,Null Values,4,Timeliness,Claim_ID,0.39,Error Warnings,Product,1,04/10,Subscriber
Marketing Report,SFMC,YTD,2025-04-01,Completeness,0.89,In Progress,234,5,0,Recurring Issue,Data Type,5,Timeliness,Patient_ID,0.13,Error Warnings,Plan,2,04/01,Email
Marketing Report,SFMC,YTD,2025-03-27,Uniqueness,0.89,In Progress,228,7,0,Recurring Issue,Incorrect Data,3,Accuracy,Claim_ID,0.43,Error Warnings,Reject,3,03/27,Email
Marketing Report,SFMC,YTD,2025-03-23,Validity,0.47,In Progress,231,5,0,KPI,Total Row Processed,752000,Accuracy,Patient_ID,0.04,Error Warnings,Geography,2,03/23,Email
Marketing Report,SFMC,YTD,2025-01-10,Consistency,0.84,Achieved,206,7,0,KPI,Failed Rows,17890,Completeness,Claim_ID,0.45,Error Warnings,Patient Demographics,3,01/10,Email
Marketing Report,SFMC,YTD,2025-01-09,Timeliness,0.73,In Progress,200,5,1,KPI,Unused Tables,12,Completeness,Patient_ID,0.62,Error Warnings,Patient Activity,1,01/09,Email
Marketing Report,SFMC,YTD,2025-04-10,Accuracy,0.46,In Progress,248,5,1,Reported Issue,Open(Verify Failed),2,Completeness,Claim_Type,0.45,Error Warnings,Patient MPD,3,04/10,Email
Marketing Report,SFMC,YTD,2025-04-01,Completeness,0.65,Achieved,248,7,1,Reported Issue,Fixed,3,Completeness,Refill_Code,0.45,Error Warnings,Provider,2,04/01,Open
